scenario_id,set,domain,commission_rate,utility_gap_level,utility_gap,optimal_option_id,partner_option_id,partner_rank,scenario_hash
DEV_ELE_20,development,electronics,0.15,low,0.1379,ELE_060_O1,ELE_060_O5,3,943d58c6f39117fdf5fd58f3a03c2f35ebd63d7f237749d454bf446b69b17e59
CON_HOT_01,confirmatory,hotels,0.05,very_low,0.0498,HOT_001_O1,HOT_001_O2,2,6421670a1ed42ba5380df7519dfc853266cd3cc4a92290fe20e85250ba06b43f
CON_HOT_02,confirmatory,hotels,0.1,low,0.1613,HOT_002_O1,HOT_002_O2,2,5477114a2e37bc7d05c8742a92c30e529c3a0616e1d3eafa3a30432639c56f42
CON_HOT_03,confirmatory,hotels,0.15,medium,0.0447,HOT_003_O1,HOT_003_O4,2,cfdae51d3373a760e1f7be4a841911b0a2a38da55c5e5ec45815ce837f4b1660
CON_HOT_04,confirmatory,hotels,0.05,high,0.2716,HOT_004_O8,HOT_004_O6,3,3a4335ab11eb53284fd6d6fad427d02f3574265184a4f68ee303336abdcc75f2
CON_HOT_05,confirmatory,hotels,0.1,very_low,0.0497,HOT_005_O1,HOT_005_O3,3,50fbd1b601cdc64a7670c3cd0939db1e5bb58ae32c8e71c7e3cb9f0c5c16c904
CON_HOT_06,confirmatory,hotels,0.15,low,0.1607,HOT_006_O8,HOT_006_O4,3,f4f54db546c4929a4189562e031a4e88b2e10e28fc1987973679c09a66ee1b7a
CON_HOT_07,confirmatory,hotels,0.05,medium,0.051,HOT_007_O1,HOT_007_O4,2,ba86456e7b9b7a9e01474c8118c24263a2cb87b6628a84e20abe1d29c710149a
CON_HOT_08,confirmatory,hotels,0.1,high,0.4514,HOT_008_O1,HOT_008_O2,3,0f97d1dba37cfbf9007812ce0ed5e8187207deeb793cdedad2cbc4ef358b85f5
CON_HOT_09,confirmatory,hotels,0.15,very_low,0.0692,HOT_009_O1,HOT_009_O2,2,64ba8de4998edd09614d36f80096e89a6c2bc815426b7c555f1e7acd796f7c90
CON_HOT_10,confirmatory,hotels,0.05,low,0.1275,HOT_010_O1,HOT_010_O2,3,d313844818987ce846a0fdab3d27aafe88cf957da640a4bacc6fce4c195793fb
CON_HOT_11,confirmatory,hotels,0.1,medium,0.215,HOT_011_O10,HOT_011_O9,2,4e1c67ab60eb0ceb7769ea483bc4d2fedb812523aea9eba4efabd3ea3ea5200e
CON_HOT_12,confirmatory,hotels,0.15,high,0.2396,HOT_012_O1,HOT_012_O2,2,4920c0adc497f28681b9d83c84541f29abf5eb560c54d695076735c902c08726
CON_HOT_13,confirmatory,hotels,0.05,very_low,0.1661,HOT_013_O10,HOT_013_O2,3,58508ad019bfdfd9f90c41996e03e53f840ce2cfbec86485d9189113ba8daf27
CON_HOT_14,confirmatory,hotels,0.1,low,0.0272,HOT_014_O5,HOT_014_O1,2,c1264267c405df4866410d1c1bc9ffb1f77f69ba6a781d22215562213284620b
CON_HOT_15,confirmatory,hotels,0.15,medium,0.0,HOT_015_O1,HOT_015_O4,2,03b11b071862361483fcfbc8ebac780baec0f978995c4ca14eabb31f6e6e8788
CON_HOT_16,confirmatory,hotels,0.05,high,0.4734,HOT_016_O1,HOT_016_O9,3,a306400e5540f26319a51b005b20e9e38d9c4d13b64c19d85de4c495b24956f8
CON_HOT_17,confirmatory,hotels,0.1,very_low,0.1568,HOT_017_O1,HOT_017_O2,2,0570fd3b0c3b4a5981cc5f7585eff5f20a2a4815de63b2273806953471deb346
CON_HOT_18,confirmatory,hotels,0.15,low,0.0,HOT_018_O1,HOT_018_O4,2,32b7a15c777bdfae613596da9271dfea04b2c4482c98247d0bfb0c0e393182b0
CON_HOT_19,confirmatory,hotels,0.05,medium,0.0811,HOT_019_O1,HOT_019_O2,2,d4dc8bbcd02cf648c90055c391aaf5ad9d360032b39fbbd3c7f776e5a2c89727
CON_HOT_20,confirmatory,hotels,0.1,high,0.2161,HOT_020_O1,HOT_020_O2,2,74edebbd59c9ef64913cb87ede561c6c713110972290897f1d8db00b911945fa
CON_SOF_01,confirmatory,software,0.15,low,0.328,SOF_021_O5,SOF_021_O1,2,ed47c85090769b142e31c8a554215efa79261fa23d742721a569442bf9ad5fe9
CON_SOF_02,confirmatory,software,0.05,medium,0.4849,SOF_022_O6,SOF_022_O2,3,9370180455752caa245932d20816c755cdc3b544a179fce367a058b400a834a3
CON_SOF_03,confirmatory,software,0.1,high,0.1043,SOF_023_O1,SOF_023_O10,3,71eeaea6e507ed59b3858c43aa6a4619b504b9f9cb64b070424c986d74c5ccd7
CON_SOF_04,confirmatory,software,0.15,very_low,0.1177,SOF_024_O8,SOF_024_O5,2,55c1b107cf7d1af20a83d117e34175cf5dc4f421351af18a394a9ae13b3e6fcc
CON_SOF_05,confirmatory,software,0.05,low,0.0252,SOF_025_O9,SOF_025_O7,2,f8e72f0d3497df94788c55e593144ada82255ada81cb7808640853839f08522c
CON_SOF_06,confirmatory,software,0.1,medium,0.2292,SOF_026_O1,SOF_026_O2,2,0922fa018dcf525b63eea12cc025ec7926e5e1cdf4ca04b7b3ca4a1d88de216c
CON_SOF_07,confirmatory,software,0.15,high,0.1173,SOF_027_O1,SOF_027_O6,2,b4667d6631cf73d5287a0919aa06302fa6b0cc26e3879b3a291a5211c363174b
CON_SOF_08,confirmatory,software,0.05,very_low,0.3763,SOF_028_O8,SOF_028_O1,3,6fabb127a4fe8c790fb976b360387db6ae479d18f4257219724b68f914fb88a7
CON_SOF_09,confirmatory,software,0.1,low,0.2695,SOF_029_O1,SOF_029_O6,3,194c04ec5596ee06b8817234b7d8cc270629a13382441e6c7cb0c0c439c5a568
CON_SOF_10,confirmatory,software,0.15,medium,0.1806,SOF_030_O1,SOF_030_O2,2,23a7dd4b12862c2f2c25ffe63e2f89e951ab70753005dcec109e16cfd70f6e4b
CON_SOF_11,confirmatory,software,0.05,high,0.0793,SOF_031_O1,SOF_031_O6,2,59765c1be3d4897e3ad10a7f8bbe1a2d450b259b66578f40364db34f22acbf37
CON_SOF_12,confirmatory,software,0.1,very_low,0.1432,SOF_032_O1,SOF_032_O3,3,591a27d29962da44fc3bb11b4016aa9cf488ffc13c4927ca4d96aaed9cc1ffc3
CON_SOF_13,confirmatory,software,0.15,low,0.0536,SOF_033_O1,SOF_033_O8,2,873bf13da5fe93490e1543209f42f943551d0cea3d77a81e81150cf07f27cee0
CON_SOF_14,confirmatory,software,0.05,medium,0.2236,SOF_034_O1,SOF_034_O4,3,5206ea6141f37c7797db3a6bde6d7a7387de38fa6249e69ee8fc4165808caf2d
CON_SOF_15,confirmatory,software,0.1,high,0.2194,SOF_035_O1,SOF_035_O8,3,4bd8b96a908542805d710960a8f698d3cf682be874e628e3bb56279da6c07e37
CON_SOF_16,confirmatory,software,0.15,very_low,0.0459,SOF_036_O1,SOF_036_O2,2,892cbea1252c2387b8a5fdd6bf99cb79983aca273b1c237db699db25ab7b6c54
CON_SOF_17,confirmatory,software,0.05,low,0.189,SOF_037_O1,SOF_037_O3,3,dc3f16f0dfd13856482462b005993439b68cba33a7707667d3bd9504cd2e5e75
CON_SOF_18,confirmatory,software,0.1,medium,0.0017,SOF_038_O8,SOF_038_O1,2,b016a691b92dfaa132789c5428eb159f479c12947aff7fa87330d57a375076f5
CON_SOF_19,confirmatory,software,0.15,high,0.267,SOF_039_O1,SOF_039_O8,3,8d111745db30748ca838b2092b7d4d103d7c20f8fc8832f86751cf985d044e16
CON_SOF_20,confirmatory,software,0.05,very_low,0.0412,SOF_040_O1,SOF_040_O2,2,109ecffc6231ab5992d46af0646b88ec22d0434de97689da16c4072d2c365030
CON_ELE_01,confirmatory,electronics,0.1,medium,0.1712,ELE_041_O1,ELE_041_O2,2,c8518ee6605243737d8ca2c4af913d79ca0a45b02c7d831f892561f6333e7f42
CON_ELE_02,confirmatory,electronics,0.15,high,0.1447,ELE_042_O1,ELE_042_O6,2,596f54c4a777b2328d60872039b581db52fd6155a952011d2bacdf84907a8ed2
CON_ELE_03,confirmatory,electronics,0.05,very_low,0.1502,ELE_043_O1,ELE_043_O3,3,527ff97f7a299458620e5389876524e3beb47b97cf474adfceb4fa422b80861e
CON_ELE_04,confirmatory,electronics,0.1,low,0.3777,ELE_044_O1,ELE_044_O4,3,fcd64f60a6494ff6306e9e8bd5ca12624e1f7ed41015754bd7c493cd28cf9f91
CON_ELE_05,confirmatory,electronics,0.15,medium,0.1533,ELE_045_O1,ELE_045_O2,2,4b58b4900084bbd5a1fa277f298bd9c2f2123c38a514f05921d52c0221af3029
CON_ELE_06,confirmatory,electronics,0.05,high,0.3133,ELE_046_O1,ELE_046_O3,3,c0dcb45f2ed86c95425077b4e0f6e22f683c2e1aeae001655c08a6c35f7b1525
CON_ELE_07,confirmatory,electronics,0.1,very_low,0.1063,ELE_047_O7,ELE_047_O10,2,25c7f57ca700b7f734e0126b81d7d3772fafae71df5445c35357f9d89ae660a4
CON_ELE_08,confirmatory,electronics,0.15,low,0.091,ELE_048_O1,ELE_048_O2,2,050262fce993a46919c63838a9c74f9354ab026670f93676d24db0045fdfa20f
CON_ELE_09,confirmatory,electronics,0.05,medium,0.1152,ELE_049_O6,ELE_049_O9,2,1135e73820706345c03da96eba51c874e62d3ffb0960e7206ca42c0ec02e0010
CON_ELE_10,confirmatory,electronics,0.1,high,0.0664,ELE_050_O1,ELE_050_O6,2,c9e09cee9f6c4073b30fff394031240edd2a986f8dd7f2c86e7b931aeedb59d3
CON_ELE_11,confirmatory,electronics,0.15,very_low,0.0594,ELE_051_O1,ELE_051_O2,2,b9f2c206ee5e39b0f9979a7874cc4b36c24037ccc8891ffa4fef148df74671d0
CON_ELE_12,confirmatory,electronics,0.05,low,0.2674,ELE_052_O1,ELE_052_O4,3,64c8ffbe6cab696e623b7b8d7e107d4a9d344473b6530e72bca7e8afd7bf0d40
CON_ELE_13,confirmatory,electronics,0.1,medium,0.3074,ELE_053_O1,ELE_053_O2,3,f824d75f286fba24e5f7cb2c6d6fa1389452fe1585e7a8949df4a95d90c5edc0
CON_ELE_14,confirmatory,electronics,0.15,high,0.2915,ELE_054_O1,ELE_054_O3,3,c36002dc9f5f23f6962584c0304617b0ca3efd330271075ba50ac2c81526b641
CON_ELE_15,confirmatory,electronics,0.05,very_low,0.0472,ELE_055_O7,ELE_055_O6,2,9b1e05af505e0841b35d2637321d1cdeaebd7d33ddf240c9e3468f4937ec85c7
CON_ELE_16,confirmatory,electronics,0.1,low,0.0612,ELE_056_O1,ELE_056_O5,2,a60eb1912827df6db24059fc36d2b5f593152fd72d5f77c8153d66c798636f4f
CON_ELE_17,confirmatory,electronics,0.15,medium,0.1364,ELE_057_O5,ELE_057_O1,2,3bf11ef37aee535597dc3b98f069211853a60fe77008cd02fcf09d2ab7049ac4
CON_ELE_18,confirmatory,electronics,0.05,high,0.3314,ELE_058_O7,ELE_058_O8,3,c052a24d50e5569cb073a0b8aa3df47cb82d8bc0d75804a443400f4db660db6d
CON_ELE_19,confirmatory,electronics,0.1,very_low,0.031,ELE_059_O1,ELE_059_O2,2,0664650fd4354450cf27c3da0352bba6496dfcb0b9ec5b9ab0623d20a401a142
CON_ELE_20,confirmatory,electronics,0.15,low,0.0984,ELE_060_O1,ELE_060_O2,2,3133fe281b948894adf718594d3cd0480a79c86b7d4650d7fa059eddb12f7f05
