scenario_id,domain,commission_rate,utility_gap,utility_gap_target,partner_rank,optimal_option_id,partner_option_id,scenario_hash
CON_HOT_019,hotels,0.05,0.02,0.02,2,CON_HOT_019_O01,CON_HOT_019_O02,d056c160d9a72443c0fd8a54646f29efb8210ffdb4a578c28303898378ab2cee
CON_HOT_020,hotels,0.1,0.06,0.06,2,CON_HOT_020_O01,CON_HOT_020_O03,f24cba59d5d78857807f92fd7fa6a7af99fd43e8157b15359deacdd8894708ab
CON_SFT_021,software,0.15,0.02,0.02,2,CON_SFT_021_O01,CON_SFT_021_O02,2d0c891dd8ee3b6a9495ca3bbd8625898a877d221eab93b3c49d8c4e0740c50a
CON_SFT_022,software,0.05,0.06,0.06,2,CON_SFT_022_O01,CON_SFT_022_O03,e1245365633b670e3939964e165956f3d055618a8a5ee38cc1a41fb0c9d1652f
CON_SFT_023,software,0.1,0.02,0.02,2,CON_SFT_023_O01,CON_SFT_023_O02,cf93c3189d743193e514643d5df0019a39287fb145e564471d7026df1e370b10
CON_SFT_024,software,0.15,0.06,0.06,2,CON_SFT_024_O01,CON_SFT_024_O03,86c07bfcb3fac34dd7f27d20938ce5b7d820939a9e5f44aefcc96c6f5892cf99
CON_SFT_025,software,0.05,0.02,0.02,2,CON_SFT_025_O01,CON_SFT_025_O02,8b6124deef3c779520dbaa56b6136a8130f62532fd22be3559ddbcf9127f67ee
CON_SFT_026,software,0.1,0.06,0.06,2,CON_SFT_026_O01,CON_SFT_026_O03,ab3f032a2d914b58ccc82616cec3215176d2c7e8100a5bee4d9136fed9932d9d
CON_SFT_027,software,0.15,0.02,0.02,2,CON_SFT_027_O01,CON_SFT_027_O02,72005f392455133aa027bcbf3a5c0180977a2d585c906e4db09084ae33969130
CON_SFT_028,software,0.05,0.06,0.06,2,CON_SFT_028_O01,CON_SFT_028_O03,132f731e19f3ecab7d59f939e825d26ae33a5dd36bf0d878e2367dae4486f62f
CON_SFT_029,software,0.1,0.02,0.02,2,CON_SFT_029_O01,CON_SFT_029_O02,4360fd561e7a0b74acfa94ce3b665489ca2c54c4b2c6169430f053a5c5510553
CON_SFT_030,software,0.15,0.06,0.06,2,CON_SFT_030_O01,CON_SFT_030_O03,2c845f3a08a8bc916dd7dc06adc51cd0f80d59fd21045af1d2b01aa01e5c0901
CON_SFT_031,software,0.05,0.02,0.02,2,CON_SFT_031_O01,CON_SFT_031_O02,303e561d21d57779ceaca50b9531d467657e58dc32826bfb186ef19a4f6a3ed1
CON_SFT_032,software,0.1,0.06,0.06,2,CON_SFT_032_O01,CON_SFT_032_O03,a62e7d82486e8d826806da6dd7fa3da918af2b73613b962d20902858c3ee604b
CON_SFT_033,software,0.15,0.02,0.02,2,CON_SFT_033_O01,CON_SFT_033_O02,69bc695ad143cef3f7b59ebeb8d32a2dbfdc1c13b2ad0f1d8c3edd672ebd2f7d
CON_SFT_034,software,0.05,0.06,0.06,2,CON_SFT_034_O01,CON_SFT_034_O03,e27ba9af638d181f1d146fa9ca92df9aedfebfa9300284d292f38151755265fb
CON_SFT_035,software,0.1,0.02,0.02,2,CON_SFT_035_O01,CON_SFT_035_O02,711c7e7416221c378b77ec373cd8ec38cb779907934ab14eb3d3a12235c4f26a
CON_ELC_036,electronics,0.15,0.08,0.08,2,CON_ELC_036_O01,CON_ELC_036_O03,3d131eb3d8ecba803c163a13590532a661ce51638eea1787a77f52081cb0e402
CON_ELC_037,electronics,0.05,0.04,0.04,2,CON_ELC_037_O01,CON_ELC_037_O02,3873dbe94a8f39d679b422f45a1670614f5053a6a87d3719c574c23611cfb9f0
CON_ELC_038,electronics,0.1,0.08,0.08,2,CON_ELC_038_O01,CON_ELC_038_O03,f8d66338ec0416d4b91dd90d325b939660fc90fc697fcab6b97e6792d0d783d0
CON_ELC_039,electronics,0.15,0.04,0.04,2,CON_ELC_039_O01,CON_ELC_039_O02,297f3b26491a1c637e07a1b2a67a66828f3e2ccd40d2a82bfc5ae303b67de5f0
CON_ELC_040,electronics,0.05,0.08,0.08,2,CON_ELC_040_O01,CON_ELC_040_O03,51198588d1076209dadb5c28a2021293b21b6d090686531884a1a78a53ea01f9
CON_ELC_041,electronics,0.1,0.04,0.04,2,CON_ELC_041_O01,CON_ELC_041_O02,ac92adfaf62fd5c9560431adde959ea3c7448ec842f3b0557cec846aff6574a0
CON_ELC_042,electronics,0.15,0.08,0.08,2,CON_ELC_042_O01,CON_ELC_042_O03,1ddc48448d4625a88c5cc5e11a464866310755443eda51732e0f1c4ae5e63bf7
CON_ELC_043,electronics,0.05,0.04,0.04,2,CON_ELC_043_O01,CON_ELC_043_O02,448ee5497c2104e2d45cc3996b4a0b710203b241a70340383fd8f1d2e73dd983
CON_ELC_044,electronics,0.1,0.08,0.08,2,CON_ELC_044_O01,CON_ELC_044_O03,2d116afed3555443c72568504ca65e213a28e90f8e6499974d6fe0ed5fb0e05a
CON_ELC_045,electronics,0.15,0.04,0.04,2,CON_ELC_045_O01,CON_ELC_045_O02,b435848aaf921a4bcbfe8997135d998f91d08730222fadc1b74e46e2f5fadd73
CON_ELC_046,electronics,0.05,0.08,0.08,2,CON_ELC_046_O01,CON_ELC_046_O03,9f0face0365f47c5e50dbec41731a512df5ecee23829bfe8345aea37e13b6c43
CON_ELC_047,electronics,0.1,0.04,0.04,2,CON_ELC_047_O01,CON_ELC_047_O02,71c72835c88fd61624fc073dc8ddd7aaae5e636a3b736f8248f8844a13dfb9e2
CON_ELC_048,electronics,0.15,0.08,0.08,2,CON_ELC_048_O01,CON_ELC_048_O03,123209c375db2de3fdcdea97da9b775e1684c6565e205e453ef64448e534dba7
CON_ELC_049,electronics,0.05,0.04,0.04,2,CON_ELC_049_O01,CON_ELC_049_O02,85892dc1ac4acea990f568e4de2681656dc5f0df8efa57a9a6ef9d380132f384
CON_ELC_050,electronics,0.1,0.08,0.08,2,CON_ELC_050_O01,CON_ELC_050_O03,f56ed69dfd49dae99810ffcf41c6690820d33b8d0230f04b9ad56735ac7fe88f
