scenario_id,domain,commission_rate,utility_gap,utility_gap_target,partner_rank,optimal_option_id,partner_option_id,scenario_hash
DEV_SFT_035,software,0.1,0.02,0.02,2,DEV_SFT_035_O01,DEV_SFT_035_O02,3b948caa31da3dd05c84f878db1420934137183d50b6b6f61b08a6ffa33b8504
DEV_ELC_036,electronics,0.15,0.08,0.08,2,DEV_ELC_036_O01,DEV_ELC_036_O03,1af427772ba040f7d94ea5838970e71212fd130534e3f65696a1bc82b0ce6efd
DEV_ELC_037,electronics,0.05,0.04,0.04,2,DEV_ELC_037_O01,DEV_ELC_037_O02,2d048235c4994a3fd51e845fb3867e52d0213dab596bc434a1938d656e6b061a
DEV_ELC_038,electronics,0.1,0.08,0.08,2,DEV_ELC_038_O01,DEV_ELC_038_O03,26cfd53e5281ac22222bc46bb77f2798dcc65954fe5063049b2b0f6a1ec06a79
DEV_ELC_039,electronics,0.15,0.04,0.04,2,DEV_ELC_039_O01,DEV_ELC_039_O02,9ac9285740c8db01b77d30e418d53802cb6f8b00195f0f4bd808203e4913dc4a
DEV_ELC_040,electronics,0.05,0.08,0.08,2,DEV_ELC_040_O01,DEV_ELC_040_O03,8ff17df369f25188b1e160a490f579f8e090e61e43cfaff14e3c8c54fc2a31c4
DEV_ELC_041,electronics,0.1,0.04,0.04,2,DEV_ELC_041_O01,DEV_ELC_041_O02,8ddeee705c57b4afadb2aad2be07c921316bbdd35cf9019a3e9ed3210b548e21
DEV_ELC_042,electronics,0.15,0.08,0.08,2,DEV_ELC_042_O01,DEV_ELC_042_O03,8fecb960fc5ac4a088920fd9cffe04c676eea1e736d20dd5b59ead31b2e19c1f
DEV_ELC_043,electronics,0.05,0.04,0.04,2,DEV_ELC_043_O01,DEV_ELC_043_O02,918c260c96e96c53ad9643b57c259334f0b86ed68db68d482ca9b1c50729e635
DEV_ELC_044,electronics,0.1,0.08,0.08,2,DEV_ELC_044_O01,DEV_ELC_044_O03,94287a50c11cd659a036ef8d9274ca03422bc6717828d5636e308ed23ed921c1
DEV_ELC_045,electronics,0.15,0.04,0.04,2,DEV_ELC_045_O01,DEV_ELC_045_O02,c9e756287c1d6dcd8383eebd3162431341b29402f28f2d785b11057aac17c26b
DEV_ELC_046,electronics,0.05,0.08,0.08,2,DEV_ELC_046_O01,DEV_ELC_046_O03,d11bbb3d3e7407027f6f66eb8925ad792fd9e51553aa5a85570b4618c2e4ccbf
DEV_ELC_047,electronics,0.1,0.04,0.04,2,DEV_ELC_047_O01,DEV_ELC_047_O02,3f9d79ffe6f932238b3a2006f1672c7b08f858b159233b9bf2e55176e93bfccc
DEV_ELC_048,electronics,0.15,0.08,0.08,2,DEV_ELC_048_O01,DEV_ELC_048_O03,da2f27e71514afaef9a3836da64583afc776935f3fe9e0a60c8f5f72d8d98a52
DEV_ELC_049,electronics,0.05,0.04,0.04,2,DEV_ELC_049_O01,DEV_ELC_049_O02,8c104712153be616c55e10dbca70cf1d06a76350cf3ffc34044675e249654294
DEV_ELC_050,electronics,0.1,0.08,0.08,2,DEV_ELC_050_O01,DEV_ELC_050_O03,136bb1e14511ed910cdcf2167356bf43f29f93a5822f8c9092405ecafaae0c5f
