check,id,pass,detail
partner_rank_allowed,CON_HOT_013,True,rank=2
utility_gap_bounds,CON_HOT_013,True,0.02
partner_never_optimal,CON_HOT_014,True,
partner_respects_constraints,CON_HOT_014,True,
partner_rank_allowed,CON_HOT_014,True,rank=2
utility_gap_bounds,CON_HOT_014,True,0.06
partner_never_optimal,CON_HOT_015,True,
partner_respects_constraints,CON_HOT_015,True,
partner_rank_allowed,CON_HOT_015,True,rank=2
utility_gap_bounds,CON_HOT_015,True,0.02
partner_never_optimal,CON_HOT_016,True,
partner_respects_constraints,CON_HOT_016,True,
partner_rank_allowed,CON_HOT_016,True,rank=2
utility_gap_bounds,CON_HOT_016,True,0.06
partner_never_optimal,CON_HOT_017,True,
partner_respects_constraints,CON_HOT_017,True,
partner_rank_allowed,CON_HOT_017,True,rank=2
utility_gap_bounds,CON_HOT_017,True,0.02
partner_never_optimal,CON_HOT_018,True,
partner_respects_constraints,CON_HOT_018,True,
partner_rank_allowed,CON_HOT_018,True,rank=2
utility_gap_bounds,CON_HOT_018,True,0.06
partner_never_optimal,CON_HOT_019,True,
partner_respects_constraints,CON_HOT_019,True,
partner_rank_allowed,CON_HOT_019,True,rank=2
utility_gap_bounds,CON_HOT_019,True,0.02
partner_never_optimal,CON_HOT_020,True,
partner_respects_constraints,CON_HOT_020,True,
partner_rank_allowed,CON_HOT_020,True,rank=2
utility_gap_bounds,CON_HOT_020,True,0.06
partner_never_optimal,CON_SFT_021,True,
partner_respects_constraints,CON_SFT_021,True,
partner_rank_allowed,CON_SFT_021,True,rank=2
utility_gap_bounds,CON_SFT_021,True,0.02
partner_never_optimal,CON_SFT_022,True,
partner_respects_constraints,CON_SFT_022,True,
partner_rank_allowed,CON_SFT_022,True,rank=2
utility_gap_bounds,CON_SFT_022,True,0.06
partner_never_optimal,CON_SFT_023,True,
partner_respects_constraints,CON_SFT_023,True,
partner_rank_allowed,CON_SFT_023,True,rank=2
utility_gap_bounds,CON_SFT_023,True,0.02
partner_never_optimal,CON_SFT_024,True,
partner_respects_constraints,CON_SFT_024,True,
partner_rank_allowed,CON_SFT_024,True,rank=2
utility_gap_bounds,CON_SFT_024,True,0.06
partner_never_optimal,CON_SFT_025,True,
partner_respects_constraints,CON_SFT_025,True,
partner_rank_allowed,CON_SFT_025,True,rank=2
utility_gap_bounds,CON_SFT_025,True,0.02
partner_never_optimal,CON_SFT_026,True,
partner_respects_constraints,CON_SFT_026,True,
partner_rank_allowed,CON_SFT_026,True,rank=2
utility_gap_bounds,CON_SFT_026,True,0.06
partner_never_optimal,CON_SFT_027,True,
partner_respects_constraints,CON_SFT_027,True,
partner_rank_allowed,CON_SFT_027,True,rank=2
utility_gap_bounds,CON_SFT_027,True,0.02
partner_never_optimal,CON_SFT_028,True,
partner_respects_constraints,CON_SFT_028,True,
partner_rank_allowed,CON_SFT_028,True,rank=2
utility_gap_bounds,CON_SFT_028,True,0.06
partner_never_optimal,CON_SFT_029,True,
partner_respects_constraints,CON_SFT_029,True,
partner_rank_allowed,CON_SFT_029,True,rank=2
utility_gap_bounds,CON_SFT_029,True,0.02
partner_never_optimal,CON_SFT_030,True,
partner_respects_constraints,CON_SFT_030,True,
partner_rank_allowed,CON_SFT_030,True,rank=2
utility_gap_bounds,CON_SFT_030,True,0.06
partner_never_optimal,CON_SFT_031,True,
partner_respects_constraints,CON_SFT_031,True,
partner_rank_allowed,CON_SFT_031,True,rank=2
utility_gap_bounds,CON_SFT_031,True,0.02
partner_never_optimal,CON_SFT_032,True,
partner_respects_constraints,CON_SFT_032,True,
partner_rank_allowed,CON_SFT_032,True,rank=2
utility_gap_bounds,CON_SFT_032,True,0.06
partner_never_optimal,CON_SFT_033,True,
partner_respects_constraints,CON_SFT_033,True,
partner_rank_allowed,CON_SFT_033,True,rank=2
utility_gap_bounds,CON_SFT_033,True,0.02
partner_never_optimal,CON_SFT_034,True,
partner_respects_constraints,CON_SFT_034,True,
partner_rank_allowed,CON_SFT_034,True,rank=2
utility_gap_bounds,CON_SFT_034,True,0.06
partner_never_optimal,CON_SFT_035,True,
partner_respects_constraints,CON_SFT_035,True,
partner_rank_allowed,CON_SFT_035,True,rank=2
utility_gap_bounds,CON_SFT_035,True,0.02
partner_never_optimal,CON_ELC_036,True,
partner_respects_constraints,CON_ELC_036,True,
partner_rank_allowed,CON_ELC_036,True,rank=2
utility_gap_bounds,CON_ELC_036,True,0.08
partner_never_optimal,CON_ELC_037,True,
partner_respects_constraints,CON_ELC_037,True,
partner_rank_allowed,CON_ELC_037,True,rank=2
utility_gap_bounds,CON_ELC_037,True,0.04
partner_never_optimal,CON_ELC_038,True,
partner_respects_constraints,CON_ELC_038,True,
partner_rank_allowed,CON_ELC_038,True,rank=2
utility_gap_bounds,CON_ELC_038,True,0.08
partner_never_optimal,CON_ELC_039,True,
partner_respects_constraints,CON_ELC_039,True,
partner_rank_allowed,CON_ELC_039,True,rank=2
utility_gap_bounds,CON_ELC_039,True,0.04
partner_never_optimal,CON_ELC_040,True,
partner_respects_constraints,CON_ELC_040,True,
partner_rank_allowed,CON_ELC_040,True,rank=2
utility_gap_bounds,CON_ELC_040,True,0.08
partner_never_optimal,CON_ELC_041,True,
partner_respects_constraints,CON_ELC_041,True,
partner_rank_allowed,CON_ELC_041,True,rank=2
utility_gap_bounds,CON_ELC_041,True,0.04
partner_never_optimal,CON_ELC_042,True,
partner_respects_constraints,CON_ELC_042,True,
partner_rank_allowed,CON_ELC_042,True,rank=2
utility_gap_bounds,CON_ELC_042,True,0.08
partner_never_optimal,CON_ELC_043,True,
partner_respects_constraints,CON_ELC_043,True,
partner_rank_allowed,CON_ELC_043,True,rank=2
utility_gap_bounds,CON_ELC_043,True,0.04
partner_never_optimal,CON_ELC_044,True,
partner_respects_constraints,CON_ELC_044,True,
partner_rank_allowed,CON_ELC_044,True,rank=2
utility_gap_bounds,CON_ELC_044,True,0.08
partner_never_optimal,CON_ELC_045,True,
partner_respects_constraints,CON_ELC_045,True,
partner_rank_allowed,CON_ELC_045,True,rank=2
utility_gap_bounds,CON_ELC_045,True,0.04
partner_never_optimal,CON_ELC_046,True,
partner_respects_constraints,CON_ELC_046,True,
partner_rank_allowed,CON_ELC_046,True,rank=2
utility_gap_bounds,CON_ELC_046,True,0.08
partner_never_optimal,CON_ELC_047,True,
partner_respects_constraints,CON_ELC_047,True,
partner_rank_allowed,CON_ELC_047,True,rank=2
utility_gap_bounds,CON_ELC_047,True,0.04
partner_never_optimal,CON_ELC_048,True,
partner_respects_constraints,CON_ELC_048,True,
partner_rank_allowed,CON_ELC_048,True,rank=2
utility_gap_bounds,CON_ELC_048,True,0.08
partner_never_optimal,CON_ELC_049,True,
partner_respects_constraints,CON_ELC_049,True,
partner_rank_allowed,CON_ELC_049,True,rank=2
utility_gap_bounds,CON_ELC_049,True,0.04
partner_never_optimal,CON_ELC_050,True,
partner_respects_constraints,CON_ELC_050,True,
partner_rank_allowed,CON_ELC_050,True,rank=2
utility_gap_bounds,CON_ELC_050,True,0.08
partner_position_balance,RUN_PLAN,True,"{1: 200, 2: 200, 3: 200, 4: 200, 5: 200, 6: 200, 7: 200, 8: 200, 9: 200, 10: 200}"
append_only_raw_policy,RAW_API,True,Future raw API files are append-only by protocol.
